 

stn;time;tre200h0;hns000hs;rre150h0;ure200h0;hto000hs;fu3010h0
STG;2018010819;2.3;-;0.0;99.8;-;4.0
STG;2018010820;2.2;-;0.0;98.4;-;4.0
STG;2018010821;7.1;-;0.0;63.8;-;14.4
STG;2018010822;13.5;-;0.0;38.9;-;20.5
STG;2018010823;13.6;-;0.0;28.8;-;18.7
STG;2018010900;13.0;-;0.0;29.9;-;11.5
STG;2018010901;13.2;-;0.0;30.0;-;15.5
STG;2018010902;2.6;-;0.0;83.4;-;9.4
STG;2018010903;1.6;-;0.0;92.3;-;5.4
STG;2018010904;2.0;-;0.0;90.8;-;9.4
STG;2018010905;6.6;0;0.0;67.6;0;17.6
STG;2018010906;10.5;-;0.0;47.3;-;29.2
STG;2018010907;9.9;-;0.0;47.3;-;24.8
STG;2018010908;10.1;-;0.0;43.1;-;20.2
STG;2018010909;10.0;-;0.0;42.6;-;18.7
STG;2018010910;10.6;-;0.0;41.3;-;16.9
STG;2018010911;9.6;-;0.0;47.8;-;7.6
STG;2018010912;11.2;-;0.0;36.6;-;9.0
STG;2018010913;11.0;-;0.0;39.4;-;5.4
STG;2018010914;11.2;-;0.0;33.1;-;7.6
STG;2018010915;10.5;-;0.0;36.3;-;14.4
STG;2018010916;9.9;-;0.0;39.1;-;15.8
STG;2018010917;8.5;-;0.0;48.5;-;11.5
STG;2018010918;5.7;-;0.0;70.0;-;5.8
STG;2018010919;5.8;-;0.0;67.6;-;9.0
STG;2018010920;5.9;-;0.0;67.4;-;10.4
STG;2018010921;5.2;-;0.0;73.2;-;10.4
STG;2018010922;5.3;-;0.0;73.6;-;12.2
STG;2018010923;4.9;-;0.0;75.2;-;12.2
STG;2018011000;4.9;-;0.0;72.6;-;5.0
STG;2018011001;3.4;-;0.0;78.8;-;2.9
STG;2018011002;3.1;-;0.0;78.2;-;4.0
STG;2018011003;2.9;-;0.0;80.1;-;7.6
STG;2018011004;2.7;-;0.0;83.4;-;9.4
STG;2018011005;2.7;0;0.0;83.7;0;7.6
STG;2018011006;3.8;-;0.0;80.4;-;9.0
STG;2018011007;4.0;-;0.0;77.0;-;13.3
STG;2018011008;4.0;-;0.0;73.2;-;14.0
STG;2018011009;4.2;-;0.0;71.2;-;4.3
STG;2018011010;4.7;-;0.0;71.6;-;2.2
STG;2018011011;6.0;-;0.0;69.1;-;2.2
STG;2018011012;5.4;-;0.0;74.4;-;6.8
STG;2018011013;4.7;-;0.0;81.2;-;3.2
STG;2018011014;5.6;-;0.0;74.5;-;2.9
STG;2018011015;5.6;-;0.0;72.1;-;7.2
STG;2018011016;4.7;-;0.0;78.5;-;6.1
STG;2018011017;3.9;-;0.0;78.2;-;5.8
STG;2018011018;3.5;-;0.0;78.6;-;4.3
STG;2018011019;3.7;-;0.0;78.5;-;4.3
STG;2018011020;3.8;-;0.0;74.3;-;4.3
STG;2018011021;3.6;-;0.0;68.0;-;1.8
STG;2018011022;3.3;-;0.0;70.3;-;1.8
STG;2018011023;3.2;-;0.0;70.7;-;2.9
STG;2018011100;3.4;-;0.0;70.2;-;1.4
STG;2018011101;2.8;-;0.0;74.9;-;4.3
STG;2018011102;2.5;-;0.0;75.4;-;4.3
STG;2018011103;2.8;-;0.0;72.0;-;4.7
