ORT-ID;BEZEICHNUNG;STANDORT;DATUM;WOCHENTAG;ARBEITSTAG;KENNZAHL;RICHTUNG;ORT-RICHTUNG ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;TAGESTOTAL
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-15;Donnerstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-15;Donnerstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";5;109215;2;1;0;1;3;15;47;131;116;77;70;91;94;85;61;79;83;122;100;77;56;30;22;11;1374
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-16;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";1;109211;3;0;1;1;2;4;17;63;97;47;55;51;34;65;66;50;80;105;58;34;28;21;20;7;909
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-16;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-16;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-17;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-17;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);5;109215;16;14;3;0;5;5;14;18;33;42;61;71;75;63;75;72;74;75;50;41;29;20;25;21;902
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-18;Sonntag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);1;109211;4;10;3;2;6;3;21;13;17;22;17;30;28;27;52;50;52;38;32;23;25;18;10;4;507
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-18;Sonntag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-18;Sonntag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
